ID_UNIDADE_GESTORA,CODIGOTCE,ESFERA,CODIGOMUNICIPIO,MUNICIPIO,ORGAO,SIGLA,SITUACAO,CNPJ,PODER,UNIFED,TipoPessoaJuridicaPublica,NATUREZA
1267,003005,Municipal,P003,Afrânio,Fundo Municipal de Saúde de Afrânio,FMS,Ativa,06111891000130,Poder Executivo,PE,Vinculada,Fundo Público
8,003001,Municipal,P003,Afrânio,Prefeitura Municipal de Afrânio,PMA,Ativa,10358174000184,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
9,003002,Municipal,P003,Afrânio,Câmara Municipal de Afrânio,,Ativa,01721892000182,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
10,003003,Municipal,P003,Afrânio,Fundo Previdenciário do Município de Afrânio,FUNPREAFRA,Ativa,04926675000117,Poder Executivo,PE,Vinculada,Fundo Público
11,004001,Municipal,P004,Agrestina,Prefeitura Municipal de Agrestina,PMA,Ativa,10091494000110,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
12,004002,Municipal,P004,Agrestina,Câmara Municipal de Agrestina,CMA,Ativa,11474277000172,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
13,004003,Municipal,P004,Agrestina,Fundo Municipal de Saúde de Agrestina,FMSA,Ativa,10225695000163,Poder Executivo,PE,Vinculada,Fundo Público
14,004004,Municipal,P004,Agrestina,Fundo Municipal de Assistência Social de Agrestina,FMAS,Ativa,12256568000157,Poder Executivo,PE,Vinculada,Fundo Público
1283,004005,Municipal,P004,Agrestina,Consórcio de Municípios de Agreste e Mata Sul do Estado de Pernambuco,COMAGSUL,Ativa,07753868000101,Poder Executivo,PE,Não Vinculada,Consórcio
1508,004006,Municipal,P004,Agrestina,Regime Próprio de Previdência Social do Município de Agrestina,AGRESTIPREV,Ativa,19065011000188,Poder Executivo,PE,Não Vinculada,Autarquia
1215,005005,Municipal,P005,Água Preta,Fundo Municipal de Assistência Social de Água Preta,FMASAP,Ativa,12064805000188,Poder Executivo,PE,Vinculada,Fundo Público
1216,005006,Municipal,P005,Água Preta,Fundo Municipal de Saúde da Água Preta,FMSAP,Ativa,10316445000139,Poder Executivo,PE,Vinculada,Fundo Público
1350,005007,Municipal,P005,Água Preta,Instituto de Previdência dos Servidores Municipais de Água Preta,ÁGUA PRETA PREV,Ativa,13188322000158,Poder Executivo,PE,Não Vinculada,Autarquia
15,005001,Municipal,P005,Água Preta,Prefeitura Municipal de Água Preta,PMAP,Ativa,10183929000157,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
16,005002,Municipal,P005,Água Preta,Câmara Municipal de Água Preta,CMAP,Ativa,08653230000161,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
17,005003,Municipal,P005,Água Preta,Serviço Autônomo de Água e Esgoto do Município de Água Preta,SAAE,Ativa,09663279000168,Poder Executivo,PE,Não Vinculada,Autarquia
18,005004,Municipal,P005,Água Preta,Fundo de Previdência do Município de Água Preta,FUNPREAP,Extinta - Desativada,05136803000191,Poder Executivo,PE,Vinculada,Fundo Público (antigo)
19,006001,Municipal,P006,Águas Belas,Prefeitura Municipal de Águas Belas,,Ativa,11286341000191,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
20,006002,Municipal,P006,Águas Belas,Câmara Municipal de Águas Belas,CMAB,Ativa,11239993000175,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
21,006003,Municipal,P006,Águas Belas,Instituto de Previdência do Município de Águas Belas,IPREAB,Ativa,05494599000180,Poder Executivo,PE,Vinculada,Autarquia
22,006004,Municipal,P006,Águas Belas,Fundo Municipal de Saúde de Águas Belas,,Ativa,11209720000188,Poder Executivo,PE,Vinculada,Fundo Público
1305,006005,Municipal,P006,Águas Belas,Fundo Municipal dos Direitos da Criança e do Adolescente de Águas Belas,,Ativa,11286341000191,Poder Executivo,PE,Vinculada,Fundo Público
1214,007005,Municipal,P007,Alagoinha,Fundo Municipal de Assistência Social de Alagoinha,FMAS,Ativa,12033733000101,Poder Executivo,PE,Vinculada,Fundo Público
1083,007004,Municipal,P007,Alagoinha,Fundo Municipal de Saúde de Alagoinha,FMS,Ativa,11419791000105,Poder Executivo,PE,Vinculada,Fundo Público
23,007001,Municipal,P007,Alagoinha,Prefeitura Municipal de Alagoinha,PMA,Ativa,11043981000170,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
24,007002,Municipal,P007,Alagoinha,Câmara Municipal de Alagoinha,CMA,Ativa,24300618000135,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
25,007003,Municipal,P007,Alagoinha,Instituto de Previdência dos Servidores Municipais de Alagoinha,IPSEMA,Ativa,07191947000176,Poder Executivo,PE,Não Vinculada,Autarquia
26,008001,Municipal,P008,Aliança,Prefeitura Municipal de Aliança,PMA,Ativa,10164028000118,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
27,008002,Municipal,P008,Aliança,Câmara Municipal de Aliança,CMA,Ativa,11488202000140,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
1095,008003,Municipal,P008,Aliança,Fundo Municipal de Previdência Social dos Servidores de Aliança,ALIANÇA PREV,Ativa,10143570000194,Poder Executivo,PE,Não Vinculada,Fundo Público
1106,008004,Municipal,P008,Aliança,Fundo Municipal de Saúde de Aliança,,Ativa,10759784000190,Poder Executivo,PE,Vinculada,Fundo Público
1632,008005,Municipal,P008,Aliança,Fundo Municipal de Assistencia Social de Aliança,FMAS,Ativa,12497273000172,Poder Executivo,PE,Vinculada,Fundo Público
1213,009005,Municipal,P009,Altinho,Fundo Municipal de Assistência Social de Altinho,FMASA,Ativa,12216509000155,Poder Executivo,PE,Vinculada,Fundo Público
1437,009007,Municipal,P009,Altinho,Fundo Municipal de Investimentos Em Infraestrutura Urbana Educação Saúde Meio Ambiente Sustentabilidade Segurança e Desenvolvimento Social de Altinho,FDM,Ativa,18042397000140,Poder Executivo,PE,Vinculada,Fundo Público
28,009001,Municipal,P009,Altinho,Prefeitura Municipal de Altinho,PMA,Ativa,10091502000129,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
29,009002,Municipal,P009,Altinho,Câmara Municipal de Altinho,CMVA,Ativa,24299851000145,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
30,009003,Municipal,P009,Altinho,Instituto de Previdência dos Servidores Municipais de Altinho,IPSAL,Ativa,05856751000128,Poder Executivo,PE,Não Vinculada,Autarquia
31,009004,Municipal,P009,Altinho,Fundo Municipal de Saúde de Altinho,FMS,Ativa,08470342000187,Poder Executivo,PE,Vinculada,Fundo Público
32,010001,Municipal,P010,Amaraji,Prefeitura Municipal de Amaraji,PMA,Ativa,11294360000160,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
33,010002,Municipal,P010,Amaraji,Câmara Municipal de Amaraji,CMA,Ativa,11507043000184,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
34,010003,Municipal,P010,Amaraji,Serviço Autônomo de Água e Esgoto do Município de Amaraji,SAAE,Ativa,11690211000110,Poder Executivo,PE,Não Vinculada,Autarquia
35,010004,Municipal,P010,Amaraji,Fundo Previdenciário do Município de Amaraji,FUNPRAMA,Ativa,05696842000143,Poder Executivo,PE,Vinculada,Fundo Público
1282,010006,Municipal,P010,Amaraji,Fundo Municipal da Criança e do Adolescente de Amaraji,,Ativa,05000639000190,Poder Executivo,PE,Vinculada,Fundo Público (antigo)
1149,010005,Municipal,P010,Amaraji,Fundo Municipal de Saúde de Amaraji,,Ativa,11607836000175,Poder Executivo,PE,Vinculada,Fundo Público
1582,010007,Municipal,P010,Amaraji,Fundo Municipal de Assistência Social de Amaraji,FMAS,Ativa,12270451000128,Poder Executivo,PE,Vinculada,Fundo Público
36,011001,Municipal,P011,Angelim,Prefeitura Municipal de Angelim,PMA,Ativa,10130755000164,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
37,011002,Municipal,P011,Angelim,Câmara Municipal de Angelim,CMA,Ativa,11240256000192,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
38,011003,Municipal,P011,Angelim,Fundo Municipal de Saúde de Angelim,FMSA,Ativa,10908660000129,Poder Executivo,PE,Vinculada,Fundo Público
39,011004,Municipal,P011,Angelim,Fundo Municipal de Previdência de Angelim,FUNPREVI,Ativa,08889626000102,Poder Executivo,PE,Vinculada,Fundo Público
40,012001,Municipal,P012,Araripina,Prefeitura Municipal de Araripina,PMA,Ativa,11040854000118,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
41,012002,Municipal,P012,Araripina,Câmara Municipal de Araripina,cma,Ativa,11474624000167,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
43,012004,Municipal,P012,Araripina,Autarquia Educacional do Araripe,AEDA,Ativa,11469541000180,Poder Executivo,PE,Não Vinculada,Autarquia
44,012009,Municipal,P012,Araripina,Fundo Municipal de Saúde Araripina,FMS,Ativa,11390957000108,Poder Executivo,PE,Vinculada,Fundo Público
45,012006,Municipal,P012,Araripina,Fundo de Previdência do Município de Araripina,ARARIPREV,Ativa,08731244000156,Poder Executivo,PE,Vinculada,Fundo Público
46,012007,Municipal,P012,Araripina,Fundo Municipal de Defesa dos Direitos da Criança e do Adolescente de Araripina,FMDDCA,Ativa,03141305000101,Poder Executivo,PE,Vinculada,Fundo Público (antigo)
1153,012008,Municipal,P012,Araripina,Secretaria Municipal de Educação de Araripina,SEMEC,Ativa,11040854000118,Poder Executivo,PE,Vinculada,Secretaria e similares/Defensoria Pública
1485,012010,Municipal,P012,Araripina,Fundo Municipal de Assistência Social Araripina,,Ativa,13491152000186,Poder Executivo,PE,Vinculada,Fundo Público
1334,013008,Municipal,P013,Arcoverde,Autarquia de Trânsito e Transporte de Arcoverde,ARCOTTRANS,Ativa,13609436000124,Poder Executivo,PE,Vinculada,Autarquia
1337,013009,Municipal,P013,Arcoverde,Secretaria Municipal de Ação Social e Cidadania Arcoverde,,Ativa,10105955000167,Poder Executivo,PE,Vinculada,Fundo Público
1212,013007,Municipal,P013,Arcoverde,Fundo Municipal de Assistência Social de Arcoverde,FMASAV,Ativa,13872021000149,Poder Executivo,PE,Vinculada,Fundo Público
1055,013005,Municipal,P013,Arcoverde,Fundo Municipal de Saúde de Arcoverde,,Ativa,10339635000171,Poder Executivo,PE,Vinculada,Fundo Público
47,013001,Municipal,P013,Arcoverde,Prefeitura Municipal de Arcoverde,,Ativa,10105955000167,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
48,013002,Municipal,P013,Arcoverde,Câmara Municipal de Arcoverde,CMA,Ativa,12659777000141,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
49,013003,Municipal,P013,Arcoverde,Autarquia de Ensino Superior de Arcoverde,AESA,Ativa,11462454000109,Poder Executivo,PE,Não Vinculada,Autarquia
50,013004,Municipal,P013,Arcoverde,Fundo Previdenciário do Município de Arcoverde,FUNPREMARC,Ativa,05368163000145,Poder Executivo,PE,Vinculada,Fundo Público
1547,013010,Municipal,P013,Arcoverde,Fundo Municipal de Educação Arcoverde,FME,Ativa,19470663000106,Poder Executivo,PE,Vinculada,Fundo Público
51,014001,Municipal,P014,Barra de Guabiraba,Prefeitura Municipal de Barra de Guabiraba,,Ativa,10120962000138,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
52,014002,Municipal,P014,Barra de Guabiraba,Câmara Municipal de Barra de Guabiraba,,Ativa,08862609000181,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
53,014003,Municipal,P014,Barra de Guabiraba,Instituto de Previdência Municipal de Barra de Guabiraba,IPREBAG,Ativa,09241494000170,Poder Executivo,PE,Não Vinculada,Autarquia
54,014004,Municipal,P014,Barra de Guabiraba,Fundo Municipal de Saúde de Barra de Guabiraba,FMS,Ativa,12680370000104,Poder Executivo,PE,Vinculada,Fundo Público
55,014005,Municipal,P014,Barra de Guabiraba,Fundo de Previdência Social do Município de Barra de Guabiraba,FUNPREBAG,Extinta - Transformada,10120962000138,Poder Executivo,PE,Vinculada,Fundo Público (antigo)
57,014007,Municipal,P014,Barra de Guabiraba,Fundo Municipal de Assistência Social de Barra de Guabiraba,FMAS,Ativa,12116914000100,Poder Executivo,PE,Vinculada,Fundo Público
58,015001,Municipal,P015,Barreiros,Prefeitura Municipal de Barreiros,PMB,Ativa,10110989000140,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
59,015002,Municipal,P015,Barreiros,Câmara Municipal de Barreiros,CMB,Ativa,08915159000148,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
1086,015003,Municipal,P015,Barreiros,Fundo Municipal de Saúde de Barreiros,FMSB,Ativa,11514360000128,Poder Executivo,PE,Vinculada,Fundo Público
1538,015004,Municipal,P015,Barreiros,Fundo Municipal de Assistência Social de Barreiros,FMAS,Ativa,01856164000188,Poder Executivo,PE,Vinculada,Fundo Público
1540,015005,Municipal,P015,Barreiros,Fundo Municipal dos Direitos da Criança e Adolescente de Barreiros,FUNDECA,Ativa,09649235000183,Poder Executivo,PE,Vinculada,Fundo Público
1093,016003,Municipal,P016,Belém de Maria,Fundo Municipal de Saúde de Belém de Maria,FMS,Ativa,08851627000168,Poder Executivo,PE,Vinculada,Fundo Público
1353,016004,Municipal,P016,Belém de Maria,Fundo Municipal de Assistência Social de Belém de Maria,FMAS,Ativa,08851649000128,Poder Executivo,PE,Vinculada,Fundo Público
60,016001,Municipal,P016,Belém de Maria,Prefeitura Municipal de Belém de Maria,PMBM,Ativa,10184703000170,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
61,016002,Municipal,P016,Belém de Maria,Câmara Municipal de Belém de Maria,CMBM,Ativa,08653610000104,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
62,017001,Municipal,P017,Belém de São Francisco,Prefeitura Municipal de Belém de São Francisco,PMBSF,Ativa,10113728000183,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
63,017002,Municipal,P017,Belém de São Francisco,Câmara Municipal de Belém do São Francisco,CMBSF,Ativa,08865453000192,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
64,017003,Municipal,P017,Belém de São Francisco,Instituto de Previdência Social dos Servidores Municipais de Belém do São Francisco,IPSEBE,Ativa,07829684000188,Poder Executivo,PE,Vinculada,Autarquia
65,017004,Municipal,P017,Belém de São Francisco,"Autarquia Belemita de Cultura, Desportos e Educação de Belém do São Francisco",ABCDE,Ativa,10264877000143,Poder Executivo,PE,Não Vinculada,Autarquia
1058,017005,Municipal,P017,Belém de São Francisco,Fundo Municipal de Saúde de Belém do São Francisco,,Ativa,02324776000192,Poder Executivo,PE,Vinculada,Fundo Público
1209,018006,Municipal,P018,Belo Jardim,Fundo do Direito da Criança e do Adolescente de Belo Jardim,FUMDECA,Ativa,10260222000105,Poder Executivo,PE,Vinculada,Fundo Público
1210,018007,Municipal,P018,Belo Jardim,Fundo Municipal de Assistência Social de Belo Jardim,FMASBJ,Ativa,10619939000192,Poder Executivo,PE,Vinculada,Fundo Público
66,018001,Municipal,P018,Belo Jardim,Prefeitura Municipal de Belo Jardim,PMBJ,Ativa,10260222000105,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
67,018002,Municipal,P018,Belo Jardim,Câmara Municipal de Belo Jardim,,Ativa,11470457000186,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
68,018003,Municipal,P018,Belo Jardim,Instituto de Previdência dos Servidores Públicos do Município de Belo Jardim,BELO JARDIM PREV,Ativa,05782177000100,Poder Executivo,PE,Não Vinculada,Autarquia
69,018004,Municipal,P018,Belo Jardim,Autarquia Educacional do Belo Jardim,AEB,Ativa,11464153000106,Poder Executivo,PE,Não Vinculada,Autarquia
70,018005,Municipal,P018,Belo Jardim,Fundo Municipal de Saúde de Belo Jardim,FMSBJ,Ativa,10241913000153,Poder Executivo,PE,Vinculada,Fundo Público
71,019001,Municipal,P019,Betânia,Prefeitura Municipal de Betânia,PMB,Ativa,10287373000149,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
72,019002,Municipal,P019,Betânia,Câmara Municipal de Betânia,CMB,Ativa,11478674000112,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
73,019003,Municipal,P019,Betânia,Fundo Previdenciário do Município de Betânia,FUNPREBE,Ativa,05427546000147,Poder Executivo,PE,Vinculada,Fundo Público
1490,019004,Municipal,P019,Betânia,Fundo Municipal de Saude de Betania,FMS,Ativa,19259219000138,Poder Executivo,PE,Vinculada,Fundo Público
1543,019005,Municipal,P019,Betânia,Fundo Municipal de Assistência Social Betânia,FMAS,Ativa,18165809000139,Poder Executivo,PE,Vinculada,Fundo Público
1211,020007,Municipal,P020,Bezerros,Fundo Municipal de Assistência Ao Idoso dos Bezerros,FMAIB,Ativa,10091510000175,Poder Executivo,PE,Vinculada,Fundo Público
74,020001,Municipal,P020,Bezerros,Prefeitura Municipal dos Bezerros,PMB,Ativa,10091510000175,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
75,020002,Municipal,P020,Bezerros,Câmara Municipal de Bezerros,CAVEBE,Ativa,11474491000129,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
76,020003,Municipal,P020,Bezerros,Instituto de Previdência dos Servidores dos Bezerros,IPREBE,Ativa,04272224000103,Poder Executivo,PE,Não Vinculada,Autarquia
77,020004,Municipal,P020,Bezerros,Fundo Municipal de Saúde dos Bezerros,FMS,Ativa,13486604000131,Poder Executivo,PE,Vinculada,Fundo Público
78,020005,Municipal,P020,Bezerros,Fundo Municipal de Defesa dos Direitos da Criança e Adolescente dos Bezerros,FUMCAD,Ativa,10091510000175,Poder Executivo,PE,Vinculada,Fundo Público
79,020006,Municipal,P020,Bezerros,Fundo Municipal de Assistência Social dos Bezerros,FMASB,Ativa,10091510000175,Poder Executivo,PE,Vinculada,Fundo Público
80,021001,Municipal,P021,Bodocó,Prefeitura Municipal de Bodocó,PMB,Ativa,11040862000164,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
81,021002,Municipal,P021,Bodocó,Câmara Municipal de Bodocó,CMB,Ativa,24301483000122,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
82,021003,Municipal,P021,Bodocó,Fundo Municipal de Saúde de Bodocó,FMSBodoco,Ativa,11216167000100,Poder Executivo,PE,Vinculada,Fundo Público
83,021004,Municipal,P021,Bodocó,Fundo Previdenciário de Bodocó,FUNPREBO,Ativa,04487101000190,Poder Executivo,PE,Vinculada,Fundo Público
1108,021005,Municipal,P021,Bodocó,Fundo Municipal de Assistência Social Bodocó,FMAS,Ativa,11040862000164,Poder Executivo,PE,Vinculada,Fundo Público
1110,021006,Municipal,P021,Bodocó,Fundo de Direitos da Criança e do Adolescente Bodocó,FDCA,Ativa,11040862000164,Poder Executivo,PE,Vinculada,Fundo Público
1662,021007,Municipal,P021,Bodocó,Fundo Municipal de Assistência Social de Bodocó,FMASB,Ativa,14931337000127,Poder Executivo,PE,Vinculada,Fundo Público
1207,022005,Municipal,P022,Bom Conselho,Fundo Municipal de Defesa da Criança e do Adolescente de Bom Conselho,FUMDECA,Ativa,02066786000175,Poder Executivo,PE,Vinculada,Fundo Público
1208,022006,Municipal,P022,Bom Conselho,Fundo Municipal de Assistência Social dos Bom Conselho,FMASBC,Ativa,12068976000185,Poder Executivo,PE,Vinculada,Fundo Público
84,022001,Municipal,P022,Bom Conselho,Prefeitura Municipal de Bom Conselho,,Ativa,11285954000104,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
85,022002,Municipal,P022,Bom Conselho,Câmara Municipal de Bom Conselho,CMB,Ativa,11240975000103,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
86,022003,Municipal,P022,Bom Conselho,Fundo Municipal de Saúde de Bom Conselho,,Ativa,10800021000145,Poder Executivo,PE,Vinculada,Fundo Público
87,022004,Municipal,P022,Bom Conselho,Fundo de Previdência do Município de Bom Conselho,BCPREV,Ativa,05624075000167,Poder Executivo,PE,Vinculada,Fundo Público
88,023001,Municipal,P023,Bom Jardim,Prefeitura Municipal do Bom Jardim,PMBJ,Ativa,10293074000117,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
89,023002,Municipal,P023,Bom Jardim,Câmara Municipal de Bom Jardim,CMBJ,Ativa,12048963000144,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
90,023003,Municipal,P023,Bom Jardim,Fundo Municipal de Aposentadorias e Pensões de Bom Jardim,FUMAP,Ativa,03825198000130,Poder Executivo,PE,Vinculada,Fundo Público
1382,023005,Municipal,P023,Bom Jardim,Fundo Municipal de Assistência Social Bom Jardim,FMAS,Ativa,12259049000142,Poder Executivo,PE,Vinculada,Fundo Público
1127,023004,Municipal,P023,Bom Jardim,Fundo Municipal de Saúde do Bom Jardim,FMS,Ativa,10589928000107,Poder Executivo,PE,Vinculada,Fundo Público
91,024001,Municipal,P024,Bonito,Prefeitura Municipal de Bonito,PMB,Ativa,10121515000101,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
92,024002,Municipal,P024,Bonito,Câmara Municipal do Bonito,CMB,Ativa,08861494000100,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
93,024003,Municipal,P024,Bonito,Fundo Municipal de Saúde de Bonito,FMS,Ativa,08763979000161,Poder Executivo,PE,Vinculada,Fundo Público
94,024004,Municipal,P024,Bonito,Fundo Previdenciário dos Servidores do Município de Bonito,BONITOPREV,Ativa,05473907000191,Poder Executivo,PE,Vinculada,Autarquia
95,024005,Municipal,P024,Bonito,Fundo Municipal de Assistência Social de Bonito,FMAS,Ativa,10121515000101,Poder Executivo,PE,Vinculada,Fundo Público
96,025001,Municipal,P025,Brejão,Prefeitura Municipal de Brejão,PMB,Ativa,10131076000100,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
97,025002,Municipal,P025,Brejão,Câmara Municipal de Brejão,CMB,Ativa,12660494000110,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
98,025003,Municipal,P025,Brejão,Fundo de Previdência do Município de Brejão,FUPREB,Ativa,07905387000174,Poder Executivo,PE,Vinculada,Fundo Público
1112,025004,Municipal,P025,Brejão,Fundo Municipal de Saúde de Brejão,FMSB,Ativa,11230311000163,Poder Executivo,PE,Vinculada,Fundo Público
1367,025005,Municipal,P025,Brejão,Fundo Municipal de Assistência Social Brejão,FMASB,Ativa,14628090000174,Poder Executivo,PE,Vinculada,Fundo Público
99,026001,Municipal,P026,Brejinho,Prefeitura Municipal de Brejinho,PMB,Ativa,11358173000100,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
100,026002,Municipal,P026,Brejinho,Câmara Municipal de Brejinho,CMB,Ativa,24300089000170,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
101,026003,Municipal,P026,Brejinho,Fundo Municipal de Saúde de Brejinho,FMS BREJINHO,Ativa,06242368000142,Poder Executivo,PE,Vinculada,Fundo Público
102,026004,Municipal,P026,Brejinho,Fundo Previdenciário do Município de Brejinho,FUNPREBRE,Ativa,17551806000170,Poder Executivo,PE,Vinculada,Fundo Público
103,027001,Municipal,P027,Brejo da Madre de Deus,Prefeitura Municipal do Brejo da Madre de Deus,PMBMD,Ativa,10091528000177,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
104,027002,Municipal,P027,Brejo da Madre de Deus,Câmara Municipal do Brejo da Madre de Deus,CMV,Ativa,08861890000138,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
105,027003,Municipal,P027,Brejo da Madre de Deus,Instituto de Previdencia dos Servidores Municipais de Brejo da Madre de Deus,IPRESB,Ativa,06894071000161,Poder Executivo,PE,Não Vinculada,Autarquia
106,027004,Municipal,P027,Brejo da Madre de Deus,Fundo Municipal de Saúde do Brejo da Madre de Deus,FMDBMD,Ativa,09159378000107,Poder Executivo,PE,Vinculada,Fundo Público
108,027006,Municipal,P027,Brejo da Madre de Deus,Fundo Municipal de Assistência Social do Brejo da Madre de Deus,FMASBMD,Ativa,11153403000197,Poder Executivo,PE,Vinculada,Fundo Público
1206,027008,Municipal,P027,Brejo da Madre de Deus,Fundo de Defesa dos Direitos da Criança e do Adolescente de Brejo da Madre de Deus,FUNDECA BMD,Ativa,11153407000175,Poder Executivo,PE,Vinculada,Fundo Público
1289,028004,Municipal,P028,Buenos Aires,Fundo Municipal de Saúde de Buenos Aires,FMS,Ativa,10793670000166,Poder Executivo,PE,Vinculada,Fundo Público
1409,028005,Municipal,P028,Buenos Aires,Fundo Municipal de Assistência Social de Buenos Aires,FMAS,Ativa,12131759000192,Poder Executivo,PE,Vinculada,Fundo Público
109,028001,Municipal,P028,Buenos Aires,Prefeitura Municipal de Buenos Aires,PMBA,Ativa,10165165000177,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
110,028002,Municipal,P028,Buenos Aires,Câmara Municipal de Buenos Aires,,Ativa,12813465000140,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
111,028003,Municipal,P028,Buenos Aires,Fundo Previdenciário do Município de Buenos Aires,BUENOSPREV,Ativa,05313547000160,Poder Executivo,PE,Não Vinculada,Fundo Público
112,029001,Municipal,P029,Buíque,Prefeitura Municipal de Buíque,PMB,Ativa,10105963000103,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
113,029002,Municipal,P029,Buíque,Câmara Municipal de Buíque,,Ativa,11478047000181,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
114,029003,Municipal,P029,Buíque,Fundo de Previdência Social de Buíque,FPS,Ativa,06002453000133,Poder Executivo,PE,Vinculada,Fundo Público
1128,029004,Municipal,P029,Buíque,Fundo Municipal de Saúde de Buíque,FMS,Ativa,11421766000166,Poder Executivo,PE,Vinculada,Fundo Público
